Class;T1;T2;T3
1;0.97346;0.65818;0.03675
1;0.97139;0.67831;0.03965
1;0.95966;0.59558;0.0315
1;0.96555;0.63837;0.03825
1;0.97036;0.62196;0.03909
1;0.96454;0.60242;0.04054
1;0.97116;0.67298;0.04141
1;0.84206;0.70491;0.03024
1;0.56238;0.60758;0.02983
1;0.96712;0.72581;0.03
1;0.96302;0.73291;0.03075
1;0.95728;0.68463;0.02999
1;0.97292;0.69541;0.0399
1;0.96825;0.67821;0.03364
1;0.97368;0.6981;0.04223
1;0.58274;0.51234;0.02987
1;0.82341;0.52638;0.03006
1;0.70678;0.63734;0.02987
1;0.9631;0.67514;0.03119
1;0.96378;0.70316;0.03347
1;0.97561;0.71999;0.04043
1;0.96004;0.69243;0.04999
1;0.7262;0.6587;0.02987
1;0.96916;0.64284;0.04028
1;0.96202;0.6124;0.03128
1;0.97137;0.64707;0.04284
1;0.96321;0.65777;0.03576
1;0.96442;0.69904;0.03203
1;0.86147;0.67894;0.03423
1;0.95603;0.68048;0.03003
1;0.02484;0.59015;0.02993
1;0.8587;0.64035;0.03019
1;0.96421;0.72757;0.04584
1;0.96735;0.7261;0.03668
1;0.96493;0.69672;0.03479
1;0.66417;0.61295;0.02996
1;0.68176;0.65587;0.02984
1;0.01607;0.5944;0.02982
1;0.96211;0.6689;0.0313
1;0.98782;0.8126;0.10487
1;0.96872;0.78387;0.03789
1;0.96125;0.73447;0.03171
1;0.83954;0.59116;0.02983
1;0.89035;0.65735;0.03472
1;0.95192;0.57084;0.03175
1;0.96144;0.70763;0.03779
1;0.9739;0.68696;0.0414
1;0.97326;0.67165;0.049
1;0.94191;0.6536;0.03029
1;0.95608;0.72937;0.02999
1;0.53357;0.6318;0.02983
1;0.96189;0.66852;0.03722
1;0.95716;0.7076;0.03136
1;0.71602;0.5841;0.02998
-1;0.74101;0.66271;0.03915
-1;0.66495;0.56074;0.03026
-1;0.30901;0.57586;0.03297
-1;0.65684;0.69272;0.04909
-1;0.35462;0.66957;0.03895
-1;0.33086;0.52982;0.02982
-1;0.16653;0.63115;0.0338
-1;0.06491;0.55255;0.03675
-1;0.70211;0.6604;0.03628
-1;0.48773;0.62036;0.0302
-1;0.59235;0.63942;0.03042
-1;0.84468;0.65668;0.04887
-1;0.31159;0.56385;0.03267
-1;0.40725;0.48772;0.02991
-1;0.59416;0.60588;0.03063
-1;0.55742;0.62392;0.04993
-1;0.2428;0.63901;0.02982
-1;0.4571;0.53116;0.03296
-1;0.77652;0.62824;0.03015
-1;0.86663;0.73625;0.03252
-1;0.64307;0.66339;0.0335
-1;0.84772;0.60821;0.03143
-1;0.67017;0.64924;0.03284
-1;0.87292;0.58724;0.03177
-1;0.66826;0.64969;0.03029
-1;0.09785;0.38109;0.02977
-1;0.64064;0.66686;0.04037
-1;0.70428;0.58593;0.03246
-1;0.75286;0.62128;0.03626
-1;0.82989;0.63671;0.03457
-1;0.67956;0.61622;0.03143
-1;0.78157;0.63835;0.03416
-1;0.91088;0.65956;0.03762
-1;0.50067;0.67092;0.03638
-1;0.82018;0.69358;0.04431
-1;0.429;0.52317;0.03431
-1;0.45788;0.63936;0.03486
-1;0.93063;0.71399;0.03486
-1;0.8545;0.66376;0.0365
